iter	MultiClass
0	0.9916177327
1	0.9107026509
2	0.8481008039
3	0.7982534474
4	0.7573832697
5	0.7228811938
6	0.694043519
7	0.6696243769
8	0.6484207795
9	0.630242748
10	0.6142374939
11	0.5995104065
12	0.5869339155
13	0.5763009827
14	0.5654289679
15	0.5552598918
16	0.5463236888
17	0.5379909057
18	0.5313458784
19	0.5252281186
20	0.5199322036
21	0.5144107523
22	0.5094078907
23	0.5051850516
24	0.5011414818
25	0.4974321105
26	0.492824615
27	0.4897739048
28	0.4866942407
29	0.4826897418
30	0.4794901133
31	0.476359441
32	0.4729153121
33	0.4696748771
34	0.4670935265
35	0.4644115565
36	0.4618140357
37	0.4595420358
38	0.4574352091
39	0.4554401346
40	0.452941032
41	0.4509394387
42	0.449262689
43	0.4474895529
44	0.4458374394
45	0.4438078233
46	0.4417583543
47	0.4402331474
48	0.4387290634
49	0.4372737863
50	0.4352710501
51	0.4333441699
52	0.4315752245
53	0.4294242895
54	0.4275420256
55	0.426470262
56	0.4247957981
57	0.42360661
58	0.4217070753
59	0.4208353652
60	0.4193620554
61	0.4174021152
62	0.4164751639
63	0.4154244385
64	0.414033038
65	0.4128397015
66	0.4114983779
67	0.4102244443
68	0.4094525916
69	0.4085010887
70	0.4079215008
71	0.4069858295
72	0.4054976617
73	0.4046961777
74	0.4039761798
75	0.4027955001
76	0.4020528978
77	0.4010493285
78	0.4000505002
79	0.3993316029
80	0.398273258
81	0.3977786695
82	0.3966872646
83	0.3953053462
84	0.3942594888
85	0.3933314369
86	0.3924448265
87	0.3912211391
88	0.39002721
89	0.3892584475
90	0.3885432329
91	0.3872546106
92	0.3865703396
93	0.385836161
94	0.3849400263
95	0.3842466542
96	0.3834759445
97	0.3827522215
98	0.3820628708
99	0.3810721276
100	0.3801097881
101	0.3792931499
102	0.3786385525
103	0.3778587417
104	0.3768680409
105	0.3763186769
106	0.3758843669
107	0.3752189752
108	0.3745851197
109	0.3737425752
110	0.3731655271
111	0.3724271155
112	0.3718984087
113	0.3710829134
114	0.3705304593
115	0.3699915509
116	0.3693069835
117	0.3684540681
118	0.3680135779
119	0.3672448577
120	0.3661667446
121	0.365418216
122	0.3646490725
123	0.3641988462
124	0.3635711286
125	0.3632109392
126	0.3628745394
127	0.3623220006
128	0.362003676
129	0.3613553011
130	0.3609482096
131	0.3605153388
132	0.3599549266
133	0.3594500095
134	0.3587581613
135	0.3581466139
136	0.3578706196
137	0.3571640405
138	0.3569176775
139	0.3565702295
140	0.3562003041
141	0.3558556499
142	0.3551486051
143	0.354513522
144	0.3538562366
145	0.3535801365
146	0.3530370162
147	0.3526655669
148	0.3519885767
149	0.3515433878
150	0.3511765737
151	0.3508697417
152	0.3502695389
153	0.3497146931
154	0.3492611651
155	0.3486854292
156	0.3481496109
157	0.3477226664
158	0.3469238916
159	0.3464916347
160	0.3462024757
161	0.3458671553
162	0.3454355757
163	0.3446656702
164	0.3442136238
165	0.3437688794
166	0.3435291199
167	0.3430594217
168	0.3425140156
169	0.3422432068
170	0.3419105321
171	0.3413932334
172	0.3409672837
173	0.3403406243
174	0.3399658944
175	0.3393041008
176	0.3389621769
177	0.3385607154
178	0.3383086589
179	0.3380663174
180	0.3377728618
181	0.3370753414
182	0.3366406081
183	0.33618617
184	0.3356488701
185	0.3351329471
186	0.3348338616
187	0.3343963557
188	0.3341034081
189	0.3336037188
190	0.3334191794
191	0.3330513493
192	0.3325754074
193	0.3319944225
194	0.3317078034
195	0.331456911
196	0.3311730222
197	0.3307935935
198	0.3304528338
199	0.3301636959
200	0.329776669
201	0.3294391052
202	0.3291264316
203	0.3286580245
204	0.328342282
205	0.3280727854
206	0.3277187339
207	0.327287768
208	0.3269817192
209	0.3266036028
210	0.3261261582
211	0.3257853349
212	0.3256043512
213	0.3252394208
214	0.324937859
215	0.3245770769
216	0.3244496835
217	0.3240786575
218	0.3236679256
219	0.323314001
220	0.3229123701
221	0.3226163113
222	0.3221093835
223	0.3218910644
224	0.3216878149
225	0.3213345042
226	0.3209270952
227	0.3207558264
228	0.3204191303
229	0.3199223618
230	0.3196814806
231	0.3193940783
232	0.3191166448
233	0.3187076273
234	0.3184426389
235	0.3182766191
236	0.3179418279
237	0.3175982108
238	0.3174105601
239	0.3172596098
240	0.3168992934
241	0.3165773495
242	0.3162017095
243	0.3158917451
244	0.3154385346
245	0.3150928221
246	0.3150160348
247	0.3147771219
248	0.314460554
249	0.314028805
250	0.3134148236
251	0.3131381732
252	0.31288999
253	0.3126898307
254	0.3123808187
255	0.3122491077
256	0.3119370902
257	0.3116230621
258	0.3112658358
259	0.3110782909
260	0.3107641781
261	0.3104178731
262	0.3101344922
263	0.3096204105
264	0.3091284465
265	0.3090168001
266	0.3087355992
267	0.3084011466
268	0.3080964312
269	0.3076937632
270	0.3073182078
271	0.3070860467
272	0.3068388583
273	0.3066047288
274	0.3063108076
275	0.3059330722
276	0.3055524161
277	0.3052711305
278	0.3049982687
