iter	Passed	Remaining
0	9	9281
1	17	8682
2	25	8444
3	33	8313
4	41	8225
5	49	8156
6	56	8082
7	64	8013
8	72	7983
9	80	7940
10	88	7913
11	95	7876
12	103	7846
13	110	7811
14	118	7799
15	126	7796
16	134	7774
17	142	7767
18	150	7749
19	157	7726
20	165	7706
21	172	7690
22	180	7674
23	188	7651
24	195	7633
25	203	7618
26	210	7600
27	218	7588
28	226	7573
29	233	7565
30	241	7554
31	249	7550
32	257	7537
33	264	7526
34	272	7512
35	280	7499
36	287	7488
37	295	7480
38	303	7470
39	310	7455
40	318	7444
41	325	7431
42	333	7426
43	341	7419
44	349	7411
45	356	7401
46	364	7389
47	372	7379
48	379	7368
49	387	7357
50	394	7344
51	402	7332
52	409	7323
53	417	7315
54	425	7311
55	433	7304
56	440	7294
57	448	7288
58	456	7277
59	464	7269
60	471	7259
61	479	7250
62	486	7241
63	494	7227
64	501	7220
65	509	7209
66	517	7201
67	524	7191
68	532	7184
69	540	7177
70	547	7168
71	555	7162
72	563	7156
73	571	7148
74	578	7138
75	586	7130
76	593	7119
77	601	7110
78	609	7100
79	616	7090
80	624	7082
81	631	7072
82	639	7064
83	646	7054
84	654	7047
85	662	7038
86	670	7034
87	678	7028
88	685	7021
89	693	7013
90	701	7004
91	708	6996
92	716	6986
93	724	6978
94	731	6970
95	739	6961
96	746	6951
97	754	6941
98	761	6933
99	769	6926
100	777	6920
101	785	6912
102	792	6902
103	800	6894
104	808	6887
105	815	6879
106	823	6869
107	830	6862
108	838	6853
109	846	6845
110	853	6836
111	861	6828
112	868	6820
113	876	6811
114	884	6805
115	892	6797
116	899	6790
117	907	6782
118	915	6774
119	922	6765
120	930	6757
121	937	6750
122	945	6743
123	953	6736
124	961	6728
125	968	6721
126	976	6712
127	984	6706
128	992	6698
129	999	6691
130	1007	6683
131	1015	6675
132	1023	6670
133	1030	6662
134	1038	6655
135	1046	6646
136	1053	6638
137	1061	6630
138	1069	6623
139	1076	6615
140	1084	6607
141	1092	6599
142	1100	6593
143	1108	6586
144	1115	6579
145	1123	6569
146	1130	6561
147	1138	6552
148	1146	6545
149	1153	6536
150	1161	6528
151	1168	6520
152	1176	6511
153	1183	6504
154	1191	6495
155	1199	6489
156	1207	6481
157	1214	6473
158	1222	6466
159	1230	6458
160	1237	6450
161	1245	6442
162	1253	6434
163	1260	6426
164	1268	6418
165	1275	6410
166	1283	6401
167	1290	6393
168	1298	6386
169	1306	6378
170	1313	6369
171	1321	6362
172	1329	6354
173	1336	6346
174	1344	6338
175	1352	6331
176	1360	6324
177	1367	6315
178	1375	6306
179	1382	6298
180	1389	6289
181	1397	6282
182	1405	6274
183	1413	6267
184	1420	6259
185	1428	6251
186	1436	6243
187	1443	6235
188	1451	6227
189	1459	6220
190	1466	6211
191	1474	6203
192	1481	6196
193	1489	6187
194	1497	6180
195	1504	6170
196	1511	6161
197	1519	6154
198	1526	6146
199	1534	6139
200	1542	6133
201	1550	6125
202	1558	6118
203	1565	6110
204	1573	6101
205	1581	6094
206	1588	6086
207	1596	6077
208	1603	6070
209	1611	6062
210	1619	6055
211	1626	6046
212	1634	6038
213	1641	6030
214	1649	6022
215	1657	6014
216	1664	6006
217	1672	5999
218	1680	5992
219	1687	5983
220	1695	5976
221	1702	5967
222	1710	5959
223	1718	5952
224	1726	5945
225	1733	5937
226	1741	5930
227	1749	5922
228	1756	5914
229	1764	5906
230	1771	5898
231	1779	5891
232	1787	5883
233	1795	5876
234	1802	5868
235	1810	5861
236	1818	5853
237	1825	5846
238	1833	5837
239	1840	5829
240	1848	5821
241	1856	5814
242	1863	5806
243	1871	5798
244	1878	5790
245	1886	5782
246	1894	5774
247	1901	5766
248	1909	5758
249	1917	5751
250	1925	5745
251	1933	5737
252	1940	5730
253	1948	5722
254	1956	5714
255	1963	5706
256	1971	5698
257	1978	5691
258	1986	5683
259	1994	5675
260	2002	5668
261	2009	5660
262	2018	5656
263	2026	5650
264	2034	5642
265	2042	5635
266	2049	5627
267	2057	5619
268	2065	5612
269	2073	5604
270	2080	5597
271	2088	5589
272	2096	5581
273	2103	5573
274	2110	5565
275	2118	5556
276	2126	5549
277	2134	5542
278	2141	5534
279	2149	5527
280	2157	5519
281	2165	5512
282	2172	5505
283	2180	5497
284	2187	5489
285	2195	5481
286	2203	5473
287	2210	5465
288	2218	5458
289	2226	5450
290	2234	5443
291	2242	5436
292	2249	5428
293	2257	5420
294	2265	5413
295	2272	5405
296	2280	5397
297	2288	5390
298	2295	5382
299	2303	5374
300	2311	5366
301	2318	5359
302	2326	5352
303	2334	5344
304	2342	5337
305	2350	5330
306	2358	5323
307	2366	5316
308	2374	5309
309	2381	5301
310	2389	5292
311	2397	5286
312	2404	5278
313	2412	5270
314	2420	5263
315	2428	5256
316	2436	5248
317	2444	5241
318	2452	5236
319	2460	5228
320	2468	5221
321	2475	5212
322	2483	5204
323	2490	5197
324	2498	5189
325	2506	5181
326	2514	5175
327	2522	5167
328	2529	5159
329	2537	5151
330	2544	5143
331	2552	5135
332	2560	5127
333	2567	5120
334	2575	5112
335	2583	5105
336	2590	5097
337	2598	5089
338	2606	5081
339	2613	5073
340	2621	5065
341	2629	5058
342	2636	5050
343	2644	5042
344	2651	5034
345	2659	5026
346	2666	5018
347	2674	5011
348	2682	5003
349	2690	4996
350	2697	4988
351	2705	4980
352	2713	4972
353	2720	4964
354	2728	4956
355	2735	4949
356	2743	4941
357	2751	4933
358	2758	4926
359	2766	4918
360	2774	4910
361	2782	4903
362	2789	4895
363	2797	4888
364	2805	4880
365	2813	4872
366	2820	4865
367	2828	4857
368	2836	4849
369	2843	4842
370	2851	4834
371	2859	4826
372	2866	4818
373	2874	4810
374	2881	4802
375	2889	4794
376	2897	4787
377	2905	4780
378	2912	4772
379	2920	4764
380	2927	4756
381	2935	4748
382	2942	4740
383	2950	4733
384	2958	4725
385	2965	4717
386	2973	4709
387	2980	4701
388	2988	4694
389	2996	4686
390	3004	4679
391	3012	4671
392	3019	4664
393	3027	4655
394	3034	4648
395	3042	4640
396	3050	4633
397	3058	4625
398	3065	4617
399	3073	4609
400	3080	4602
401	3088	4594
402	3096	4586
403	3103	4578
404	3111	4570
405	3118	4562
406	3125	4554
407	3133	4546
408	3141	4538
409	3148	4531
410	3156	4523
411	3163	4515
412	3171	4507
413	3178	4499
414	3186	4491
415	3194	4484
416	3201	4476
417	3209	4468
418	3217	4461
419	3225	4454
420	3233	4446
421	3240	4438
422	3248	4430
423	3256	4423
424	3263	4415
425	3271	4407
426	3279	4400
427	3286	4392
428	3294	4384
429	3301	4376
430	3309	4369
431	3317	4361
432	3324	4353
433	3332	4346
434	3340	4338
435	3347	4330
436	3355	4323
437	3362	4315
438	3370	4307
439	3378	4299
440	3385	4291
441	3393	4284
442	3401	4277
443	3409	4269
444	3417	4262
445	3425	4254
446	3433	4247
447	3440	4239
448	3448	4231
449	3455	4223
450	3463	4215
451	3470	4207
452	3478	4200
453	3486	4193
454	3494	4185
455	3502	4177
456	3509	4170
457	3517	4162
458	3524	4154
459	3532	4146
460	3540	4139
461	3547	4131
462	3555	4123
463	3563	4116
464	3571	4108
465	3579	4101
466	3587	4094
467	3595	4087
468	3603	4079
469	3611	4072
470	3619	4064
471	3626	4056
472	3634	4049
473	3641	4041
474	3649	4033
475	3656	4025
476	3664	4017
477	3671	4009
478	3679	4001
479	3686	3993
480	3694	3986
481	3702	3978
482	3710	3971
483	3717	3963
484	3724	3955
485	3732	3947
486	3740	3939
487	3747	3931
488	3755	3924
489	3763	3916
490	3770	3909
491	3778	3901
492	3786	3893
493	3793	3885
494	3801	3877
495	3808	3870
496	3816	3862
497	3824	3854
498	3831	3847
499	3839	3839
500	3846	3831
501	3854	3823
502	3861	3815
503	3869	3808
504	3877	3800
505	3884	3792
506	3892	3785
507	3900	3777
508	3907	3769
509	3915	3762
510	3923	3754
511	3931	3746
512	3938	3739
513	3946	3731
514	3954	3723
515	3961	3716
516	3969	3708
517	3977	3700
518	3984	3693
519	3992	3685
520	4000	3677
521	4008	3670
522	4015	3662
523	4023	3654
524	4031	3647
525	4038	3639
526	4046	3631
527	4053	3624
